id,name,slug,department_code,insee_code,postal_code,lat,lng,pop
222,La Boisse,boisse-01,01,01049,01120,45.85,5.03333,2900
223,Parcieux,parcieux,01,01285,01600,45.9167,4.81667,1100
224,Saint-Didier-d'Aussiat,saint-didier-d-aussiat,01,01346,01340,46.3,5.06667,800
225,Saint-Nizier-le-Bouchoux,saint-nizier-le-bouchoux,01,01380,01560,46.45,5.15,700
226,Ars-sur-Formans,ars-sur-formans,01,01021,01480,45.9833,4.81667,1300
227,Anglefort,anglefort,01,01010,01350,45.9167,5.80833,900
228,Corlier,corlier,01,01121,01110,46.0333,5.5,100
229,Ferney-Voltaire,ferney-voltaire,01,01160,01210,46.25,6.11667,7800
230,Saint-Maurice-de-Rémens,saint-maurice-de-remens,01,01379,01500,45.95,5.28333,700
231,Châtillon-la-Palud,chatillon-la-palud,01,01092,01320,45.9667,5.25,1500
232,Saint-Sulpice,saint-sulpice-01,01,01387,01340,46.3203,5.04167,100
233,Saint-Bois,saint-bois,01,01340,01300,45.7,5.63333,100
234,Virignin,virignin,01,01454,01300,45.7167,5.71667,800
235,Prémillieu,premillieu,01,01311,01110,45.8667,5.56667,0
236,Genouilleux,genouilleux,01,01169,01090,46.1167,4.78333,600
237,Reyssouze,reyssouze,01,01323,01190,46.4333,4.91667,900
238,Collonges,collonges,01,01109,01550,46.1333,5.9,1600
239,Saint-Germain-de-Joux,saint-germain-de-joux,01,01357,01130,46.1833,5.73333,500
240,Brégnier-Cordon,bregnier-cordon,01,01058,01300,45.65,5.61667,700
241,Saint-Martin-le-Châtel,saint-martin-le-chatel,01,01375,01310,46.2833,5.11667,800
242,Marignieu,marignieu,01,01234,01300,45.8,5.71667,200
243,Neyrolles,neyrolles,01,01274,01130,46.1333,5.63333,700
244,Sulignat,sulignat,01,01412,01400,46.1667,4.96667,600
245,Bény,beny,01,01038,01370,46.3333,5.28333,700
246,Injoux-Génissiat,injoux-genissiat,01,01189,01200,46.05,5.78333,1000
247,Chanay,chanay,01,01082,01420,46.0,5.78333,600
248,Châtillon-sur-Chalaronne,chatillon-sur-chalaronne,01,01093,01400,46.1167,4.96667,4900
249,Farges,farges-01,01,01158,01550,46.1667,5.91667,800
250,Saint-Alban,saint-alban-01,01,01331,01450,46.1,5.45,200
251,Curtafond,curtafond,01,01140,01310,46.2667,5.08333,700
252,Viriat,viriat,01,01451,01440,46.25,5.21667,5700
253,Belleydoux,belleydoux,01,01035,01130,46.25,5.76667,300
254,Bâgé-le-Châtel,bage-le-chatel,01,01026,01380,46.3,4.93333,800
255,Sainte-Olive,sainte-olive,01,01382,01330,46.0167,4.93333,300
256,Saint-Genis-sur-Menthon,saint-genis-sur-menthon,01,01355,01380,46.2833,5.01667,400
257,Domsure,domsure,01,01147,01270,46.4167,5.3,500
258,Chavannes-sur-Suran,chavannes-sur-suran,01,01095,01250,46.2667,5.41667,700
259,Priay,priay,01,01314,01160,46.0,5.28333,1400
260,Peyrieu,peyrieu,01,01294,01300,45.6767,5.67751,800
261,Lalleyriat,lalleyriat,01,01204,01130,46.15,5.71667,200
262,Sergy,sergy-01,01,01401,01630,46.25,6.0,1700
263,Saint-Martin-du-Frêne,saint-martin-du-frene,01,01373,01430,46.1333,5.55,1100
264,Saint-Maurice-de-Beynost,saint-maurice-de-beynost,01,01376,01700,45.8333,4.96667,3900
265,Servas,servas-01,01,01405,01240,46.1333,5.16667,1200
266,Cuzieu,cuzieu-01,01,01141,01300,45.8192,5.67445,400
267,Jayat,jayat,01,01196,01340,46.3667,5.11667,1000
268,Lavours,lavours,01,01208,01350,45.8,5.76667,100
269,Chevroux,chevroux,01,01102,01190,46.3833,4.95,900
270,Pollieu,pollieu,01,01302,01350,45.8,5.75,200
271,Béligneux,beligneux,01,01032,01360,45.8667,5.11667,2900
272,Brénaz,brenaz,01,01059,01260,45.95,5.71667,100
273,Bénonces,benonces,01,01037,01470,45.8333,5.48333,300
274,Saint-Jean-le-Vieux,saint-jean-le-vieux-01,01,01363,01640,46.0284,5.38917,1600
275,Beauregard,beauregard-01,01,01030,01480,46.002,4.75139,900
276,Oyonnax,oyonnax,01,01283,01100,46.25,5.66667,23100
277,Mionnay,mionnay,01,01248,01390,45.9,4.93333,2100
